transaction_id,sender_id,receiver_id,amount,timestamp
TX_0003513,ACC_53517,ACC_96261,1747.64,2026-02-10 14:32:00
TX_0000251,ACC_43417,ACC_46247,1783.4,2026-02-19 10:04:00
TX_0001039,ACC_34170,ACC_40411,4873.9,2026-02-08 15:43:00
TX_0003848,ACC_59859,ACC_49498,4880.28,2026-02-04 04:06:00
TX_0009700,ACC_41832,ACC_16545,376.5,2026-02-19 03:43:00
TX_0009595,ACC_79616,ACC_25131,8599.24,2026-02-18 23:57:00
TX_0001617,ACC_89144,ACC_42289,848.13,2026-02-09 17:10:00
TX_0001675,ACC_12429,ACC_55688,316.95,2026-02-13 01:02:00
TX_0003734,ACC_69508,ACC_19957,4587.55,2026-02-04 12:40:00
TX_0000688,ACC_21542,ACC_77058,4490.4,2026-02-04 14:42:00
TX_0002772,ACC_88987,ACC_76579,1274.49,2026-02-13 03:08:00
TX_0002183,ACC_54772,ACC_77398,1848.39,2026-02-10 22:21:00
TX_0001715,ACC_68469,ACC_60801,3973.95,2026-02-09 12:08:00
TX_0002457,ACC_64147,ACC_85536,3423.91,2026-02-06 19:41:00
TX_0002922,ACC_53133,ACC_70592,1310.05,2026-02-04 22:40:00
TX_0007087,ACC_12424,ACC_74798,7749.1,2026-02-01 00:21:00
TX_0007450,ACC_28290,ACC_37788,3988.12,2026-02-01 01:25:00
TX_0007419,ACC_14249,ACC_53429,5449.54,2026-02-15 01:47:00
TX_0008607,ACC_16190,ACC_83206,187.18,2026-02-11 17:32:00
TX_0009272,ACC_97881,ACC_52133,131757.22,2026-02-09 04:24:00
TX_0005251,ACC_66618,ACC_32253,3662.79,2026-02-03 09:02:00
TX_0007013,ACC_20950,ACC_83282,7287.12,2026-02-01 00:37:00
TX_0006748,ACC_57469,ACC_57882,2610.34,2026-02-01 10:52:00
TX_0008982,ACC_60859,ACC_41966,24.19,2026-02-08 17:32:00
TX_0010000,ACC_40420,ACC_14412,309.13,2026-02-02 06:01:00
TX_0002794,ACC_93056,ACC_53357,611.41,2026-02-04 23:05:00
TX_0009275,ACC_45468,ACC_89339,78220.58,2026-02-17 05:49:00
TX_0001001,ACC_17703,ACC_94945,996.73,2026-02-19 08:33:00
TX_0002253,ACC_40952,ACC_22223,2593.28,2026-02-21 10:19:00
TX_0000177,ACC_71483,ACC_20470,2138.07,2026-02-02 20:07:00
TX_0003376,ACC_11487,ACC_86061,3043.96,2026-02-12 06:32:00
TX_0006254,ACC_59414,ACC_20231,3950.57,2026-02-08 18:30:00
TX_0006858,ACC_44280,ACC_29285,1126.46,2026-02-18 16:51:00
TX_0004682,ACC_20915,ACC_63576,3705.54,2026-02-18 15:08:00
TX_0005012,ACC_52245,ACC_69669,123.52,2026-02-03 17:52:00
TX_0000629,ACC_21338,ACC_44979,4370.99,2026-02-05 12:12:00
TX_0008107,ACC_23877,ACC_72421,240.43,2026-02-06 16:52:00
TX_0004003,ACC_41387,ACC_42519,2542.97,2026-02-02 00:05:00
